# 引擎硬编码串翻译表 ja<TAB>zhCN（换行写作 \n）
いいえ	否
Negate Poison / DEF UP [III]	必定毒无效 & 防御力提升[Ⅲ]
Negate Poison / Damage UP on Enemies with Status Ailments [IV]	毒无效 & 敌人处于异常状态时伤害提升[Ⅳ]
Negate Poison / Damage UP on Enemies with Status Ailments [V]	毒无效 & 敌人处于异常状态时伤害提升[Ⅴ]
Negate Poison / Negate Burn / Negate Bewitch	必定毒无效 & 必定烧伤无效 & 必定幻惑无效
Negate Poison / Negate Burn Chance [IX] / Negate Curse Chance [IX]	毒无效 & 一定几率灼伤无效[Ⅸ] & 一定几率诅咒无效[Ⅸ]
Negate Poison / Negate Charm / DEF UP [IV]	必定毒无效 & 必定魅惑无效 & 防御力提升[Ⅳ]
Negate Poison / Negate Charm / DEF UP [V]	必定毒无效 & 必定魅惑无效 & 防御力提升[Ⅴ]
Negate Poison Chance [VIII] / ATK UP [I]	概率毒无效[Ⅷ] & 攻击力提升[Ⅰ]
Negate Poison Chance [VII] / Blast Damage UP [I]	概率毒无效[Ⅶ] & Blast伤害提升[Ⅰ]
Negate Poison Chance [VII] / DEF UP [II]	概率毒无效[Ⅶ] & 防御力提升[Ⅱ]
Negate Poison Chance [X] / Negate Burn Chance [IV] / Negate Curse Chance [IV]	一定几率毒无效[Ⅹ] & 一定几率灼伤无效[Ⅳ] & 一定几率诅咒无效[Ⅳ]
Negate Skill Seal / Accele MP UP [III]	禁用技能无效 & Accele MP提升[Ⅲ]
Negate Skill Seal / Accele MP UP [II]	禁用技能无效 & Accele MP提升[Ⅱ]
Negate Skill Seal Chance [VIII] / MP Gain UP [IV]	概率技能封印无效[Ⅷ] & MP获得量提升[Ⅳ]
Negate Skill Seal Chance [VI]	一定几率禁用技能无效[Ⅵ]
Negate Skill Seal Chance [VI] / MP Gain UP [III]	概率技能封印无效[Ⅵ] & MP获得量提升[Ⅲ]
Negate Status Ailment (1 Time) / HP Regen [IV] / Reduce Damage [IV] (Self/3 Turns)	状态异常1回无效 & 自动回复HP[Ⅳ] & 伤害削减状态[Ⅳ](自/3T)
Negate Status Ailment (1 Time) / HP Regen [V] / Reduce Damage [V] (Self/3 Turns)	状态异常1回无效 & 自动回复HP[Ⅴ] & 伤害削减状态[Ⅴ](自/3T)
PPPH！コールは完璧！	PPPH！应援完美无缺！
Poison (3 Turns) Chance upon Attack [IV]	攻击时一定几率附带毒(3T)[Ⅳ]
Poison (3 Turns) Chance upon Attack [VIII]	攻击时一定几率附带毒(3T)[Ⅷ]
Poison Chance [VI] (All Foes/1 Turn)	一定几率毒[Ⅵ](全部敌人/1T)
Poison Chance [V] (All Foes/1 Turn)	一定几率毒[Ⅴ](全部敌人/1T)
Poison Chance [X] (Target/3 Turns)	一定几率附带毒[Ⅹ](单个敌人/3T)
Prayer for Salvation	救赎的祈愿
Prayer for Salvation (Max Limit Break)	救赎的祈愿(最大解放)
Reduce Damage [III] / Critical Hit Chance [III]	伤害削减状态[Ⅲ] & 概率暴击[Ⅲ]
Reduce Damage [III] / DEF UP [II]	伤害削减状态[Ⅲ] & 防御力提升[Ⅱ]
Reduce Damage [III] / DEF UP [II] / ATK DOWN [III] (Self/3 Turns)	伤害削减状态[Ⅲ] & 防御力提升[Ⅱ] & 攻击力下降[Ⅲ](自/3T)
Reduce Damage [III] / Damage After Using Charge UP [II] (Self/3 Turns)	伤害削减状态[Ⅲ] & Charge后伤害提升[Ⅱ](自/3T)
Reduce Damage [III] / MP Gain UP [III]	伤害削减状态[Ⅲ] & MP获得量提升[Ⅲ]
Reduce Damage [III] / Magia Damage UP [III] (Self/3 Turns)	伤害削减状态[Ⅲ] & Magia伤害提升[Ⅲ](自/3T)
Reduce Damage [III] / Status Ailment Resistance UP [III] (Self/3 Turns)	伤害削减状态[Ⅲ] & 状态异常耐性提升[Ⅲ](自/3T)
Reduce Damage [III] / Status Ailment Resistance UP [II] (Self/3 Turns)	伤害削减状态[Ⅲ] & 状态异常耐性提升[Ⅱ](自/3T)
Reduce Damage [II] / Critical Hit Chance [II]	伤害削减状态[Ⅱ] & 概率暴击[Ⅱ]
Reduce Damage [II] / DEF UP [III]	伤害削减状态[Ⅱ] & 防御力提升[Ⅲ]
Reduce Damage [II] / DEF UP [I] / ATK DOWN [III] (Self/3 Turns)	伤害削减状态[Ⅱ] & 防御力提升[Ⅰ] & 攻击力下降[Ⅲ](自/3T)
Reduce Damage [II] / MP Gain UP [II]	伤害削减状态[Ⅱ] & MP获得量提升[Ⅱ]
Reduce Damage [II] / Status Ailment Resistance UP [II] (Self/3 Turns)	伤害削减状态[Ⅱ] & 状态异常耐性提升[Ⅱ](自/3T)
Reduce Damage [IV] / Damage After Using Charge UP [III] (Self/3 Turns)	伤害削减状态[Ⅳ] & Charge后伤害提升[Ⅲ](自/3T)
Reduce Damage [IV] / MP Gain UP [II]	伤害削减状态[Ⅳ] & MP获得量提升[Ⅱ]
Reduce Damage [IV] / Magia Damage UP [IV] (Self/3 Turns)	伤害削减状态[Ⅳ] & Magia伤害提升[Ⅳ](自/3T)
Reduce Damage [IV] / Status Ailment Resistance UP [III] (Self/3 Turns)	伤害削减状态[Ⅳ] & 状态异常耐性提升[Ⅲ](自/3T)
Reduce Damage [IV] / Status Ailment Resistance UP [II] (Self/3 Turns)	伤害削减状态[Ⅳ] & 状态异常耐性提升[Ⅱ](自/3T)
Reduce Damage [I] / DEF UP [II]	伤害削减状态[Ⅰ] & 防御力提升[Ⅱ]
Reduce Damage [VIII] (Self/1 Turn)	伤害削减状态[Ⅷ](自己/1T)
Reduce Damage [VIII] / Chance to Ignore Reduce Damage [VII] (Self/1 Turn)	伤害削减状态[Ⅷ] & 概率无视伤害削减[Ⅶ](自/1T)
Reduce Damage [VII] (Self/1 Turn)	伤害削减状态[Ⅶ](自己/1T)
Reduce Damage [VII] / Chance to Ignore Reduce Damage [VI] (Self/1 Turn)	伤害削减状态[Ⅶ] & 概率无视伤害削减[Ⅵ](自/1T)
Reduce Damage [VI] (Self/1 Turn)	伤害削减状态[Ⅵ](自己/1T)
Reduce Damage [VI] (Self/3 Turns)	伤害削减状态[Ⅵ](自己/3T)
Reduce Damage [V] (Self/1 Turn)	伤害削减状态[Ⅴ](自己/1T)
Reduce Damage [V] (Self/3 Turns)	伤害削减状态[Ⅴ](自己/3T)
Reduce Damage [V] / MP Gain UP [III]	伤害削减状态[Ⅴ] & MP获得量提升[Ⅲ]
Reduce Magia Damage [IV] (Self/1 Turn)	Magia伤害削减状态[Ⅳ](自己/1T)
Reduce Magia Damage [VI] (Self/1 Turn)	Magia伤害削减状态[Ⅵ](自己/1T)
Reduce Magia Damage [VI] (Team/1 Turn)	Magia伤害削减状态[Ⅵ](己全/1T)
Reduce Magia Damage [V] / DEF UP [II]	Magia伤害削减状态[Ⅴ] & 防御力提升[Ⅱ]
Remove Buffs (All Foes)	状态强化解除(敌全)
Remove Debuffs / ATK UP [III] (Self/3 Turns)	解除减益 & 攻击力提升[Ⅲ](自/3T)
Remove Debuffs / ATK UP [II] (Self/3 Turns)	解除减益 & 攻击力提升[Ⅱ](自/3T)
Remove Status Ailments (Team) / HP Regen [II] (Team/3 Turns)	状态异常解除(味全) & 自动回复HP[Ⅱ](味全/3T)
Sisters	姐妹
Skill Seal (1 Turn) Chance upon Attack [VI]	攻击时一定几率付与禁用技能(1T)[Ⅵ]
Skill Seal (1 Turn) Chance upon Attack [VI] / ATK UP [III] / Damage After Using Charge UP [III]	攻击时概率给予技能封印状态(1T)[Ⅵ] & 攻击力提升[Ⅲ] & Charge后伤害提升[Ⅲ]
Skill Seal (1 Turn) Chance upon Attack [V]	攻击时一定几率付与禁用技能(1T)[Ⅴ]
Skill Seal (1 Turn) Chance upon Attack [V] / ATK UP [V]	攻击时概率给予技能封印状态(1T)[Ⅴ] & 攻击力提升[Ⅴ]
Skill Seal (3 Turns) Chance upon Attack [III]	攻击时一定几率付与禁用技能(3T)效果[Ⅲ]
Skill Seal (3 Turns) Chance upon Attack [II]	攻击时一定几率付与禁用技能(3T)效果[Ⅱ]
Skill Seal Chance [III] (All Foes/1 Turn)	一定几率禁用技能[Ⅲ](全体敌人/1T)
Skill Seal Chance [IV] (All Foes/1 Turn)	一定几率禁用技能[Ⅳ](全体敌人/1T)
Skill Surge (Self/3 Turns)	技能加速(自己/3T)
Start Battle with 10% of Magia Gauge Filled / Accele MP UP [IV]	以自己的MP积累10%的状态开始战斗 & Accele MP提升[Ⅳ]
Start Battle with 15% of Magia Gauge Filled / Accele MP UP [IV]	以自己的MP积累15%的状态开始战斗 & Accele MP提升[Ⅳ]
Start Battle with 15% of Magia Gauge Filled / Accele MP UP [V]	以自己的MP积累15%的状态开始战斗 & Accele MP提升[Ⅴ]
Start Battle with 20% of Magia Gauge Filled / Accele MP UP [V]	以自己的MP积累20%的状态开始战斗 & Accele MP提升[Ⅴ]
Status Ailment Resistance DOWN [III] (All Foes/1 Turn)	状态异常耐性下降[Ⅲ]（全体敌人/1T）
Status Ailment Resistance DOWN [III] (Target/1 Turn)	异常状态耐性下降[Ⅲ](单体敌人/1T)
Status Ailment Resistance DOWN [III] / DEF DOWN [III] (Target/3 Turns) / Status Ailment Resistance DOWN [III] (Self/3 Turns)	状态异常耐性下降[Ⅲ] & 防御力下降[Ⅲ](敌单/3T) & 状态异常耐性下降[Ⅲ](自/3T)
Status Ailment Resistance DOWN [II] (Target/3 Turns)	状态异常耐性下降[Ⅱ](敌单/3T)
Status Ailment Resistance DOWN [II] / DEF DOWN [II] (Target/3 Turns) / Status Ailment Resistance DOWN [III] (Self/3 Turns)	状态异常耐性下降[Ⅱ] & 防御力下降[Ⅱ](敌单/3T) & 状态异常耐性下降[Ⅲ](自/3T)
Status Ailment Resistance DOWN [IV] (All Foes/1 Turn)	状态异常耐性下降[Ⅳ](全体敌人/1T)
Status Ailment Resistance DOWN [IV] (Target/1 Turn)	异常状态耐性下降[Ⅳ](单体敌人/1T)
Status Ailment Resistance DOWN [VIII] / DEF DOWN [IX] (All Foes/1 Turn)	状态异常耐性下降[Ⅷ] & 防御力下降[Ⅸ](敌全/1T)
Status Ailment Resistance DOWN [VII] / DEF DOWN [VIII] (All Foes/1 Turn)	状态异常耐性下降[Ⅶ] & 防御力下降[Ⅷ](敌全/1T)
Status Ailment Resistance UP [III] (Team/1 Turn)	状态异常耐性提升[Ⅲ](己全/1T)
Status Ailment Resistance UP [II] (Team/3 Turns)	状态异常耐性提升[Ⅱ](全体友方/3T)
Status Ailment Resistance UP [IV]	状态异常耐性提升[Ⅳ]
Status Ailment Resistance UP [IV] (Team/3 Turns)	状态异常耐性提升[Ⅳ](己全/3T)
Status Ailment Resistance UP [IV] / MP Regen [I] (Self/3 Turns)	状态异常耐性提升[Ⅳ] & 自动回复MP[Ⅰ](自/3T)
Status Ailment Resistance UP [VII] (Self/3 Turns)	状态异常耐性提升[Ⅶ]（自己/3T）
Status Ailment Resistance UP [V] (Self/3 Turns)	状态异常耐性提升[Ⅴ]（自己/3T）
Status Ailment Resistance UP [V] (Team/3 Turns)	状态异常耐性提升[Ⅴ](己全/3T)
Stun (1 Turn) Chance upon Attack [III] / ATK UP [II]	攻击时概率给予眩晕状态(1T)[Ⅲ] & 攻击力提升[Ⅱ]
Stun (1 Turn) Chance upon Attack [II] / ATK UP [I]	攻击时概率给予眩晕状态(1T)[Ⅱ] & 攻击力提升[Ⅰ]
Stun (1 Turn) Chance upon Attack [II] / Blast Damage UP [II] / DEF UP [II]	攻击时概率给予眩晕状态(1T)[Ⅱ] & Blast伤害提升[Ⅱ] & 防御力提升[Ⅱ]
Stun (1 Turn) Chance upon Attack [I]	攻击时一定几率附带麻痹(1T)[Ⅰ]
Stun Chance [II] (Target/1 Turn) / Blast Damage DOWN [VII] / ATK DOWN [III] (Target/2 Turns)	一定几率附带麻痹[Ⅱ](单个敌人/1T) & Blast 伤害下降[Ⅶ] & 攻击力下降[Ⅲ](单个敌人/2T)
Stun Chance [IV] (Target/1 Turn) / Blast Damage DOWN [VIII] / ATK DOWN [IV] (Target/2 Turns)	一定几率附带麻痹[Ⅳ](单个敌人/1T) & Blast 伤害下降[Ⅷ] & 攻击力下降[Ⅳ](单个敌人/2T)
TV神浜キャスティング！	TV神滨角色扮演！
Taunt [IV] / DEF UP [IV]	概率挑衅[Ⅳ] & 防御力提升[Ⅳ]
Taunt [VIII] (Self/1 Turn)	挑衅[Ⅷ](自己/1T)
Taunt [VII] (Self/1 Turn)	挑衅[Ⅶ](自己/1T)
Taunt [V] / DEF UP [V]	概率挑衅[Ⅴ] & 防御力提升[Ⅴ]
Taunt [V] / Reduce Damage [V] (Self/1 Turn)	概率挑衅[Ⅴ] & 伤害削减状态[Ⅴ](自/1T)
she has a heart	她也有一颗心
「おめでとう」の数だけ	听多少声“恭喜”
「ただいま…」	“我回来了…”
【緊急配信】星４出します	【紧急配信】我要抽出4星
あたしのもの！	我的东西！
あたしの学校生活	我的学校生活
あたしはあたし！	我就是我！
あたたかいクリスマス	温暖的圣诞节
あったかもしれない私	也许曾经有过的我
あてがわれたみかづき荘	被分配的三日月庄
あなたにあいたいの	我想见到你
あの夏のキュン	那个夏天的心跳
あの子がまぶしすぎて	她太过耀眼
あの日、剣柳館にて	那天，在剑柳馆
あの日の悔い	那天的悔恨
あやめコレクション！	菖蒲的收藏！
ありあまるユーフォリア	溢出的极乐体验
ありふれたもの	随处可见的东西
あーし×4	人家×4
あーしの靴でしょ！	这是人家的鞋子吧！
いい子いい子	乖孩子摸摸头
いざ、宝探し！	开始寻宝！
いちばんちっちゃな家族の証	最小家人的证明
いつか、どこかの戦場で	总有一天，在某个战场上
いつかどこかの私たち	何时何处的我们
いつかの環いろはへ	致曾几何时的环伊吕波
いつか地獄で会う日まで	直到在地狱相见的那一天
いつか思い出とするために	为了将来能够回忆
いつだってノリが大事！	兴致总是很重要！
いつでもどこでもすやすやと	无论何时何地都睡得安稳香甜
いつでも心にあるもの	常在心中之物
いつでも想っているから	无论何时都思念着
いつのまにここまで	不知不觉到了这里
いつまでもこのまま	就这样一直到永远
いつもいつでもすれ違い	无论何时都没交集
いつもと違うお月様	与往常不同的月亮
いつもと違う花火	非比寻常的烟火
いつものきまぐれ	一如既往的心血来潮
いつものみんなでお買い物	和往常一样的大家一起购物
いつもの朝の光景	日常的早晨光景
いつもの特等席	习以为常的特等席
いつも頑張るあなたに	给一直努力的你
いなくなったりはしませんよ	我可不会消失
おしゃれ全開！	时尚全开！
おとぎ話へ託す祈り	寄托于童话的祈祷
おひとりさま300円まで	每人最多300日元
おまじない	咒语
お出かけは清楚な装いで	以清纯的打扮出门
お前はそれでいいのかよ	你难道认为这样没问题吗
お外でばったりこんにちは	在外面突然说你好
お姉ちゃんは縁の下の力持ち	姐姐是幕后功臣
お帰りなさいませ！	欢迎回来！
お手製アルティメットドレス	手制究极礼服
お手軽トラウマ	简单的创伤
お節介なタイミング	多管闲事的时机
お菓子の国のマミ	零食国度的麻美
お菓子の宝石箱	点心的宝石箱
お菓子の魔女の手下	点心魔女的手下
お近づきのしるし	亲近的标志
お里帰りは夢の中で	在梦中返乡
お願い届けて！	拜托了，传达给她吧！
かくて聖夜は暮れゆく	随后圣夜渐渐落幕
かけがえのないお年玉	无可替代的压岁钱
かつての羽、再び	曾经的羽翼再一次显现
かつて望んだこと…	曾经期望…
かぼちゃの王様大満足！	南瓜国王大满足！
かぼちゃ尽くしなの！	全都是南瓜！
がんばれ小さな救世主	加油小小救世主
きっかけは寄り道から	起因是绕远路
きっとおいしい学園祭	一定很美味的学园祭
きっと喜んでくれるよね	一定会感到高兴吧
きっと愛しい物語に	一定会变成有爱的故事
きみの眼を見れば	只要看你的眼神
きらめく思い出を照らす鍵	照亮闪耀回忆的钥匙
ここからはじまる物語	从此开始的故事
ここだけの優しい気持ち	这里才有的温情
ここで一息＜いろは・やちよ＞	在这稍作歇息＜彩羽·八千代＞
ここで一息＜まどか・ほむら＞	在这稍作歇息＜圆·焰＞
こっちは任せて！	这边就交给我！
この世の隅でふたり	此世之隅你我二人
この世界で生きていく	在这个世界活下去
この呪縛を抜け出して	挣脱这个魔咒
この良き日のために	为此良辰
この道はこの先も	从今以后也要走下去
これからも、みんなと	今后，也与大家一起
これが恋の香り	这就是恋爱的芳香
これはただの散歩だから	这只是散步而已
ささやかで、あたたかな	如此微小，又如此温暖
さよならの寓話	离别的寓言
さわっちゃダメ	不准碰
すぎさりし夢	远去的梦
すべての想いを乗せて	承载着所有的思念
そこに目を移して	把目光移向那里
そして自己は停止する	于是将自我停止
そのおみ足は世界一！	那双玉足是世界第一！
その味はドラマティック!?	味道出乎意料！？
その手を取れば、闇の中	握住其手，便是步入黑夜
その星屑は奇跡になって	那些星尘化为奇迹
それぞれが行く場所	各自奔赴之处
それでも、ヴィランとして	然而我等仍是反派
そんなあなただから	正因为你是这样的人
ただ、自分らしくあるために	只是，为了保持自我
ただいま敵情視察中	现在正在视察敌情
ただのゲーム	普通的游戏
たったひとつの宝物	唯一的宝物
たとえ道を間違えても	就算选错了道路
たどり着いた答え	抵达的答案
たまには甘えてほしいから	偶尔也想要撒娇
ちいさなショコラティエ	小小的巧克力匠人
ちょっとの成功	一点的成功
ちょっと一口！	就一小口！
つかの間の休息	短暂的休息
つつ闇の中で	在黑暗中
つむぎのマル秘グルメノート	纺的秘密美食笔记
とびっきりの舞台	精彩绝伦的舞台
どうかここで終わらせて	请在这里结束吧
どんなわたしになるのかな？	我会成为怎样的人呢？
どんな夢も、希望も	无论是怎样的梦想、希望
どんな衣装もお手のもの	所有衣服都能轻易变出来
なぎさが解決するのです！	小渚来解决！
なぎさの独立宣言！	小渚的独立宣言！
なぎたんにお任せ	交给小十七吧
なくさなきゃ	必须抹灭你
なごみin公園	公园里的安宁
なんだか昔に戻れたみたい	感觉好像回到了从前一样
なんだってしてやるよ	什么都愿意做
なんでもない日	平淡的一天
なんでもない運命の悪戯	命运的小小玩笑
にぎやかな潮騒	热闹的潮声
ぬいぐるみじゃないよね	不是玩偶吧
はじめての、噂に聞く日常	第一次的、传说中的日常
ひそかな祈りを	献上不为人知的祈祷
ひそやかな洗礼	静谧的洗礼
ひとくちにのせて	放在一口上
ひとりじゃないから	因为不是一个人
ひと夏の勇気	一整个夏天的勇气
びっしり書かれた料理レシピ	写得密密麻麻的食谱
ふたつの誓い	两个誓言
ふたつの魔力光	两束魔力光
ふたりだけの海と空	仅属于两人的大海与天空
ふたりでいれば、大丈夫です	我们两人一心，就没有问题
ふたりでふたつの夢を	两人追逐各自的梦想
ふたりで立つ年始め	两个人站在一起的新年
ふたりの未来に至る決着を	直至两人未来的决战
ふたりの終着地はまばゆく	两人的终点闪着光芒
ふたりの道行き	两个人的去路
ふわふわはらはら	漫不经心令人担心
ぶっきらぼうな救世主	冷淡的救世主
ほら、笑って	来，笑一个
ほんとうの私を隠して	隐藏真实的自我
ほんとうの終わりへ	前往真正的结局
ほんの少しの本当の希望	渺小而真实的希望
まいまいアットホーム	蜗牛 at Home
また、あした屋で	回头在明日屋见
また、次の夏も	下个夏天再见
またね、私たちのおとぎ話	再见，我们的童话
また明日も花咲く	明日花又开
まっしろな未来	纯白的未来
まどかと因果を紡ぐ魔法少女	与小圆结下因缘的魔法少女
まどかのノート	小圆的笔记本
まどろむ小さなぬくもり	小憩中的点滴温存
まもなく開催！ご注目あれ！	即将开始！敬请关注！
みかづき荘の音	三日月庄之音
みたまのドリームおせち	御魂的梦幻年节菜
みゃーこ先輩レーダー	嘟～学姐雷达
みんな、あつまったよ	大家，都集合了
みんなでひとつ	同心一体
みんなで一緒にストレッチ！	大家一起做伸展运动！
みんなには内緒だよ！	要对大家保密哦！
みんなに笑顔を！	让大家露出笑容！
みんな仲良く極楽	大家和睦上极乐世界
みんな可愛く彩って	把大家打扮得可爱起来
めぐりめぐる水曜日	循环星期三
もうひとつのストーリー	另一个故事
もう一度、手を取って	再度，携手
もう戻れないから	早已无可挽回
もしもの、ある日	如果有一天
やがて消えゆく少女たちよ	终将逝去的少女们啊
やけど[Ⅸ](全/1T)	灼伤[Ⅸ](全部/1T)
やすらぎのひととき	安宁一刻
ゆっくりと、でも着実に	慢慢地，但是踏实地
ゆらめく憧憬	摇曳的憧憬
れいらのカギ	丽良的钥匙
わたくしだけの自由	只属于我的自由
わたしが考えた最高の罰ゲーム	我想到的最好的惩罚游戏
わたしたちの魔法	我们的魔法
アイドルで魔法少女だから	是偶像也是魔法少女
アオハルランナー	青春跑者
アタシだって女の子	我也是女孩子啊
アニマルパラダイス	动物天堂
アリサが掴んだ手	亚里纱握住的手
アルちゃん？妖怪？	阿鲁酱？妖怪？
アレもコレもと欲張りたい	这个和那个我都想要
アンハッピーハロウィンなワケ	真是Unhappy的Halloween
イメトレinサーバー	服务器里的虚拟训练
インキューブの瞳	孵化者之瞳
ウサギさん当番の日	担任兔子照料员的日子
ウワサの時間	谣的时间
エペ・ド・クロヴィス	克洛维重剑
エンドレス・ループ	轮回无尽
エンドロールは前途多難	落幕命途多舛
エースはサウスポー	王牌是左撇子
オーバーリミッター	限制解除器
オーバーリミッター・コア	限制解除器·核心
カウンター無効 & 攻撃力UP[Ⅴ] & 耐える(自/1T)	必定反击无效 & 攻击力提升[Ⅴ] & 忍耐(自/1T)
カウンター無効 & 攻撃力UP[Ⅴ](自/3T)	反击技能无效 & 攻击力提升[Ⅴ](自己/3T)
カウンター無効 & 攻撃力UP[Ⅵ] & 耐える(自/1T)	必定反击无效 & 攻击力提升[Ⅵ] & 忍耐(自/1T)
カウンター無効 & 攻撃力UP[Ⅵ](自/3T)	反击技能无效 & 攻击力提升[Ⅵ](自己/3T)
カウンター無効(単/3T)&攻撃力UP[Ⅷ](自/1T)	反击技能无效(单体/3T)&攻击力提升[Ⅷ](自己/1T)
カウンター無効(単/3T)&攻撃力UP[Ⅸ](自/1T)	反击技能无效(单体/3T)&攻击力提升[Ⅸ](自己/1T)
カミハ☆マギカ	魔法☆神滨
カラダの傷とココロの傷	身体的创伤和心灵的创伤
ガラス靴の魔女	玻璃鞋的魔女
キモチは旋律に溶けて	情感融于汩汩旋律
クエスト開始時にHP自動回復[Ⅰ] & 状態異常耐性UP[Ⅰ](味全/∞)を発動	副本开始时发动，HP自动回复[Ⅰ] & 状态异常耐性提升[Ⅰ](全体友方/∞)
クエスト開始時にHP自動回復[Ⅱ] & 状態異常耐性UP[Ⅱ](味全/∞)を発動	副本开始时发动，HP自动回复[Ⅱ] & 状态异常耐性提升[Ⅲ](全体友方/∞)
クエスト開始時に『防御力UP[Ⅰ](味全/∞) & 自身にクリティカル無効×２回』を発動	副本开始时发动『防御力提升[Ⅰ](全体友方/∞) & 自身暴击无效×２次』
クエスト開始時に『防御力UP[Ⅱ](味全/∞) & 自身にクリティカル無効×２回』を発動	副本开始时发动『防御力提升[Ⅱ](全体友方/∞) & 自身暴击无效×２次』
クリスマスに奇跡を	为圣诞带来奇迹
クリスマス・ナイト・マジック	圣诞夜的魔法
クローゼットとご相談	卡哇伊收藏
クローゼットのカジノセット	私房的赌场套装
クールな指導のあたたかみ	冷静的指导的温暖
グランマのイチゴリゾット	奶奶的草莓肉汁烩饭
ケーキの贅沢な食べ方	蛋糕的奢侈吃法
ココロ、伝え合って	心意相通
コピーのふたり	复制的两人
ゴルゲットの魔女	颈甲的魔女
ゴールはまだ遠く	终点还很远
サイエンスドランカー	科学怪咖
サカサマのあちし！	颠倒过来的菖蒲！
サバイバルデートin無人島	生存约会in无人岛
サンタお姉さんの思い出	圣诞姐姐的回忆
ザ・グレート・エスケープ	大逃亡
ザ・グレート・ファザー	伟大的父亲
シマイミコマイ	姐妹巫女舞
ショッピングでスッキリ！	用购物来缓解压力！
ショータイムなんよ！	演出时间到了！
シークレットオブサクセス	成功秘诀
ジャンキーガールの道連れ	Junky Girl的同伴
ジャンクハウスへようこそ	欢迎来到Junk House
スキルクイック(自/3T)	技能加速(自己/3T)
スキル不可無効 & Accele MPUP[Ⅱ]	禁用技能无效 & Accele MP提升[Ⅱ]
スキル不可無効 & Accele MPUP[Ⅲ]	禁用技能无效 & Accele MP提升[Ⅲ]
スクープは逃さない	绝不错过独家新闻
スターライトパワー！	星光力量！
スペシャルなお悩み相談所	特别的烦恼咨询处
スモッグの魔女	烟雾的魔女
スーパー使用人にお任せ	交给超级佣人
タイトルは、ロックな千束！	标题是摇滚千束！
タイトルは、写真を撮る私！	标题是拍照片的我！
タオルの魔女	毛巾的魔女
ダメージアップ[Ⅴ]&HP自動回復[Ⅲ]&Another Daze最終Battleで…	伤害提升[Ⅴ]&HP自动回复[Ⅲ]＆Another Daze的最终战里……
ダメージアップ[Ⅴ]&HP自動回復[Ⅲ]＆Another Daze最終Battleで…	伤害提升[Ⅴ]&HP自动回复[Ⅲ]＆Another Daze的最终战里……
ダメージアップ[Ⅵ]&HP自動回復[Ⅳ]&Another Daze最終Battleで…	伤害提升[Ⅵ]&HP自动回复[Ⅳ]＆Another Daze的最终战里……
ダメージアップ[Ⅵ]&HP自動回復[Ⅳ]＆Another Daze最終Battleで…	伤害提升[Ⅵ]&HP自动回复[Ⅳ]＆Another Daze的最终战里……
ダメージアップ状態[Ⅱ] & ダメージカット状態[Ⅱ]	伤害上升状态[Ⅱ] & 伤害削减状态[Ⅱ]
ダメージアップ状態[Ⅲ]	伤害提升状态[Ⅲ]
ダメージアップ状態[Ⅲ] & ダメージカット状態[Ⅲ]	伤害上升状态[Ⅲ] & 伤害削减状态[Ⅲ]
ダメージアップ状態[Ⅳ] & ダメージカット状態[Ⅲ]	伤害上升状态[Ⅳ] & 伤害削减状态[Ⅲ]
ダメージアップ状態[Ⅳ]&呪い無効	伤害提升状态[Ⅳ]&诅咒无效
ダメージアップ状態[Ⅴ] & HP自動回復[Ⅲ]	伤害上升状态[Ⅴ] & 自动回复HP[Ⅲ]
ダメージアップ状態[Ⅴ] & ダメージカット状態[Ⅳ]	伤害上升状态[Ⅴ] & 伤害削减状态[Ⅳ]
ダメージアップ状態[Ⅴ]&呪い無効	伤害提升状态[Ⅴ]&诅咒无效
ダメージアップ状態[Ⅴ]&敵状態異常時ダメージUP[V](自/1T)	伤害提升状态[Ⅴ]＆敌人异常状态时伤害提升[V](自己/1T)
ダメージアップ状態[Ⅵ] & HP自動回復[Ⅳ]	伤害上升状态[Ⅵ] & 自动回复HP[Ⅳ]
ダメージアップ状態[Ⅵ] & ダメージカット状態[Ⅴ](自/3T)	伤害提升状态[Ⅵ] ＆ 伤害削减状态[Ⅴ](自己/3T)
ダメージアップ状態[Ⅵ]&敵状態異常時ダメージUP[Ⅵ](自/1T)	伤害提升状态[Ⅵ]＆敌人异常状态时伤害提升[Ⅵ](自己/1T)
ダメージアップ状態[Ⅶ] & ダメージカット状態[Ⅵ](自/1T)	伤害提升状态[Ⅶ] ＆ 伤害削减状态[Ⅵ](自己/1T)
ダメージアップ状態[Ⅶ] (自/1T)	伤害上升状态[Ⅶ](自/1T)
ダメージアップ状態[Ⅷ] & ダメージカット状態[Ⅶ](自/1T)	伤害提升状态[Ⅷ] ＆ 伤害削减状态[Ⅶ](自己/1T)
ダメージアップ状態[Ⅷ] (自/1T)	伤害上升状态[Ⅷ](自/1T)
ダメージカット状態[Ⅱ]	伤害削减状态[Ⅱ]
ダメージカット状態[Ⅱ] ＆ 確率でクリティカル[Ⅱ]	伤害削减状态[Ⅱ] & 概率暴击[Ⅱ]
ダメージカット状態[Ⅲ]	伤害削减状态[Ⅲ]
ダメージカット状態[Ⅲ] & Charge後ダメージUP[Ⅱ](自/3T)	伤害削减状态[Ⅲ] & Charge后伤害提升[Ⅱ](自/3T)
ダメージカット状態[Ⅲ] ＆ 確率でクリティカル[Ⅲ]	伤害削减状态[Ⅲ] & 概率暴击[Ⅲ]
